name,lat,lon,name2,coast
825,-23.853833,151.313667,GLADSTONE,680
2072,-23.583333,150.866667,PORT ALMA,680
1760,-23.161028,150.790167,ROSSLYN BAY,680
1631,-21.649667,115.131528,ONSLOW,680
1246,-21.283333,149.3,HAY POINT,680
564,-21.1,149.233333,MACKAY,680
189,-20.317583,118.574417,PORT HEDLAND,680
2074,-20.016667,148.25,BOWEN II,680
1492,-19.277333,147.058444,CAPE FERGUSON,680
637,-19.25,146.833333,TOWNSVILLE I,680
1630,-18.516667,146.383333,LUCINDA,680
1159,-18.000833,122.218639,BROOME,680
1629,-17.583333,146.083333,MOURILYAN HARBOUR,680
953,-16.916667,145.783333,CAIRNS,680
1116,-15.453278,128.101028,WYNDHAM,680
1160,-13.860056,136.415583,MILNER BAY (GROOTE EYLANDT),680
1157,-12.666667,141.866667,WEIPA,680
935,-12.471778,130.845861,DARWIN,680
983,-12.116694,96.894417,COCOS ISLAND (HOME IS.),680
1368,-10.561667,142.151667,GOODS ISLAND,680
221,-41.28434,174.7798,WELLINGTON HARBOUR,690
1252,7.333333,134.466667,MALAKAL-B,711
1838,7.106028,171.372806,MAJURO-C,720
513,8.731667,167.735,KWAJALEIN,720
595,19.29,166.616667,WAKE ISLAND,720
1805,-17.604917,177.43825,LAUTOKA,742
1842,-21.136806,-175.180694,NUKU'ALOFA B,744
539,-14.28,-170.69,PAGO PAGO,745
1840,-13.826778,-171.761306,APIA B,746
300,19.73,-155.055,"HILO,  HAWAII ISLAND",760
521,20.895,-156.476667,"KAHULUI HARBOR, MAUI ISLAND",760
155,21.306667,-157.866667,HONOLULU,760
823,21.431667,-157.79,MOKUOLOE ISLAND,760
756,21.953333,-159.355,"NAWILIWILI BAY, KAUAI ISLAND",760
523,28.211667,-177.36,MIDWAY ISLAND,760
1450,-9.016667,-158.066667,PENRHYN,775
1397,-17.533081,-149.572724,"PAPEETE-B, FARE UTE POINT, SOC.IS.",780
1843,-21.20475,-159.784778,RAROTONGA B,785
487,51.863333,-176.631667,ADAK  SWEEPER COVE,820
757,53.88,-166.536667,UNALASKA,820
225,55.331667,-131.625,KETCHIKAN,821
1634,55.336667,-160.501667,"SAND POINT, POPOF IS., AK",821
426,57.051667,-135.341667,SITKA,821
